track_name,artist,album,release_date,track_id,track_url,popularity
Bones,Imagine Dragons,Bones,2022-03-11,0HqZX76SFLDz2aW8aiqi7G,https://open.spotify.com/track/0HqZX76SFLDz2aW8aiqi7G,79
MONTERO (Call Me By Your Name),Lil Nas X,MONTERO,2021-09-17,1SC5rEoYDGUK4NfG82494W,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W,77
Bad Boy (feat. Luana Kiara),Raaban,Bad Boy (feat. Luana Kiara),2018-08-24,64p6ua7zpf66s62StC2QLv,https://open.spotify.com/track/64p6ua7zpf66s62StC2QLv,67
Basta Boi - Tiktok Remix,Alfons,Basta Boi (Tiktok Remix),2022-03-02,0fFFgRx0myc2UnPr1vINoK,https://open.spotify.com/track/0fFFgRx0myc2UnPr1vINoK,0
Jalebi Baby,Tesher,Jalebi Baby,2020-11-13,6GKGoi0FHzldk1ZRQoV1fv,https://open.spotify.com/track/6GKGoi0FHzldk1ZRQoV1fv,70
Brown Munde,AP Dhillon,Brown Munde,2020-09-18,58f4twRnbZOOVUhMUpplJ4,https://open.spotify.com/track/58f4twRnbZOOVUhMUpplJ4,73
Excuses,AP Dhillon,Excuses,2020-07-24,29m79w9xPMH4YCD6r8JSmV,https://open.spotify.com/track/29m79w9xPMH4YCD6r8JSmV,77
Queen of Hearts,Starla Edney,Queen of Hearts,2020-03-13,2e8zEzmedii6VKaV2852rl,https://open.spotify.com/track/2e8zEzmedii6VKaV2852rl,56
Kosandra - Remix,Maikkis,Kosandra (Remix),2020-04-06,1ChdzMLzrw4alwctDrCVTB,https://open.spotify.com/track/1ChdzMLzrw4alwctDrCVTB,49
3:59 AM,DIVINE,Punya Paap,2020-12-03,2gNMXJDKRmKWuevBGjN8wo,https://open.spotify.com/track/2gNMXJDKRmKWuevBGjN8wo,67
Satya,DIVINE,Punya Paap,2020-12-03,1xSCr5uIndaHKFdO4s2V6B,https://open.spotify.com/track/1xSCr5uIndaHKFdO4s2V6B,61
Machayenge,Emiway Bantai,Machayenge,2019-01-25,08j9wzt7Q9Ucq1IrpD4GVq,https://open.spotify.com/track/08j9wzt7Q9Ucq1IrpD4GVq,0
The Banjo Beat,HAYASA G,The Banjo Beat,2020-09-08,08y5oWUpZoBgQ6UdUaPQk3,https://open.spotify.com/track/08y5oWUpZoBgQ6UdUaPQk3,0
Drive Forever,T3NZU,Drive Forever,2021-06-08,0fVESi7cibP10hictveVI6,https://open.spotify.com/track/0fVESi7cibP10hictveVI6,1
Style,Ulef,Style,2023-01-04,3OajtW4x8mWD3F4gPj1OZX,https://open.spotify.com/track/3OajtW4x8mWD3F4gPj1OZX,0
Habibi - Albanian Remix,Ricky Rich,Habibi (Albanian Remix),2021-11-19,2sHYMLUd4nVLxHPKY05Ein,https://open.spotify.com/track/2sHYMLUd4nVLxHPKY05Ein,73
Cold Hours,aleemrk,Cold Hours,2022-08-07,2uThc9fZx2BEL3t6uuRMO1,https://open.spotify.com/track/2uThc9fZx2BEL3t6uuRMO1,3
Baby I Got Issues,U/NITISH,Baby I Got Issues,2022-05-05,1oWoRzIymhFRceEzqkUUO4,https://open.spotify.com/track/1oWoRzIymhFRceEzqkUUO4,0
No Lie - Remix,Dyma,No Lie (Remix),2021-05-25,25EEQ20yrf2cexjaH99VGg,https://open.spotify.com/track/25EEQ20yrf2cexjaH99VGg,0
Touch It,Denis First,Touch It,2021-07-16,2fayqxjqnIPyf9LaKjNjUE,https://open.spotify.com/track/2fayqxjqnIPyf9LaKjNjUE,42
Tu Aake Dekhle,King,The Carnival,2020-09-21,0yCWDaAgOtg6TKlNCg9rwA,https://open.spotify.com/track/0yCWDaAgOtg6TKlNCg9rwA,1
Maan Meri Jaan,King,Champagne Talk,2022-09-13,1418IuVKQPTYqt7QNJ9RXN,https://open.spotify.com/track/1418IuVKQPTYqt7QNJ9RXN,76
Tigini,Kikimoteleba,Tigini,2021-05-21,6kl4BepuY8tUgCt0FInh2f,https://open.spotify.com/track/6kl4BepuY8tUgCt0FInh2f,56
Bing Bing Boo!,Yashraj Mukhate,Bing Bing Boo!,2021-07-05,3efEocziYjASsr8RojWERn,https://open.spotify.com/track/3efEocziYjASsr8RojWERn,55
Shape of You,Ed Sheeran,÷ (Deluxe),2017-03-03,7qiZfU4dY1lWllzX7mPBI3,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,92
Despacito,Luis Fonsi,VIDA,2019-02-01,6habFhsOp2NvshLv26DqMb,https://open.spotify.com/track/6habFhsOp2NvshLv26DqMb,85
Gasolina,Daddy Yankee,Barrio Fino (Bonus Track Version),2004-07-13,228BxWXUYQPJrJYHDLOHkj,https://open.spotify.com/track/228BxWXUYQPJrJYHDLOHkj,26
Go Down Deh (feat. Sean Paul & Shaggy),Spice,10,2021-08-06,58dGRQrNmAJeRMFuguUbvD,https://open.spotify.com/track/58dGRQrNmAJeRMFuguUbvD,75
Shut Up,KiDi,Shut Up,2022-12-17,4OvAutMwVCBfGspBieI9i0,https://open.spotify.com/track/4OvAutMwVCBfGspBieI9i0,42
love nwantiti (feat. Dj Yo! & AX'EL) - Remix,CKay,love nwantiti (feat. Dj Yo! & AX'EL) [Remix],2021-09-09,4gvrJnKCKIPiacNsWVQwEU,https://open.spotify.com/track/4gvrJnKCKIPiacNsWVQwEU,76
Jalebi Baby (Tesher x Jason Derulo),Tesher,Jalebi Baby (Tesher x Jason Derulo),2021-05-28,6FvSS3Goz7OC8oCC2eWqe8,https://open.spotify.com/track/6FvSS3Goz7OC8oCC2eWqe8,70
Vardaan,Ajey Nagar (CarryMinati),Vardaan,2021-01-18,0MRg2bzlVhGQTi4ecu792k,https://open.spotify.com/track/0MRg2bzlVhGQTi4ecu792k,59
